code,term
1d, 1 day
1d-2d, 1-2 days
2d-4d, 2-4 days
4d-7d, 4-7 days
7d-12d, 7-12 days
12d-20d, 12-20 days
20d-30d, 20-30 days
30d-2mt, 1-2 months
2mt-4mt, 2-4 months
4mt-6mt, 4-6 months
6mt-8mt, 6-8 months
8mt-10mt, 8-10 months
10mt-12mt, 10-12 months
12mt-18mt, 12-18 months
18mt-24mt, 18-24 months
24mt-60mt, 24-60 months
60mt-, 60+ months
